Okres,Miera
Okres Bratislava I,"4,04"
Okres Bratislava II,"4,82"
Okres Bratislava III,"5,02"
Okres Bratislava IV,"4,54"
Okres Bratislava V,"3,68"
Okres Malacky,"5,38"
Okres Pezinok,"4,95"
Okres Senec,"6,10"
Západné Slovensko,"5,37"
Trnavský kraj,"5,18"
Okres Dunajská Streda,"6,39"
Okres Galanta,"4,46"
Okres Hlohovec,"3,78"
Okres Piešťany,"4,39"
Okres Senica,"7,23"
Okres Skalica,"4,84"
Okres Trnava,"4,64"
Trenčiansky kraj,"5,39"
Okres Bánovce nad Bebravou,"5,27"
Okres Ilava,"3,96"
Okres Myjava,"4,56"
Okres Nové Mesto nad Váhom,"4,61"
Okres Partizánske,"5,66"
Okres Považská Bystrica,"6,61"
Okres Prievidza,"7,14"
Okres Púchov,"4,81"
Okres Trenčín,"4,25"
Nitriansky kraj,"5,50"
Okres Komárno,"7,31"
Okres Levice,"6,82"
Okres Nitra,"4,08"
Okres Nové Zámky,"5,47"
Okres Šaľa,"4,87"
Okres Topoľčany,"5,34"
Okres Zlaté Moravce,"4,46"
Stredné Slovensko,"8,16"
Žilinský kraj,"6,53"
Okres Bytča,"7,14"
Okres Čadca,"6,95"
Okres Dolný Kubín,"7,85"
Okres Kysucké Nové Mesto,"7,60"
Okres Liptovský Mikuláš,"7,14"
Okres Martin,"5,52"
Okres Námestovo,"6,71"
Okres Ružomberok,"7,36"
Okres Turčianske Teplice,"7,42"
Okres Tvrdošín,"6,30"
Okres Žilina,"5,59"
Banskobystrický kraj,"9,83"
Okres Banská Bystrica,"4,90"
Okres Banská Štiavnica,"8,67"
Okres Brezno,"8,68"
Okres Detva,"7,39"
Okres Krupina,"7,58"
Okres Lučenec,"12,03"
Okres Poltár,"14,62"
Okres Revúca,"18,34"
Okres Rimavská Sobota,"20,26"
Okres Veľký Krtíš,"10,44"
Okres Zvolen,"5,30"
Okres Žarnovica,"9,11"
Okres Žiar nad Hronom,"6,52"
Východné Slovensko,"10,98"
Prešovský kraj,"11,39"
Okres Bardejov,"13,44"
Okres Humenné,"8,38"
Okres Kežmarok,"17,93"
Okres Levoča,"10,20"
Okres Medzilaborce,"13,55"
Okres Poprad,"7,08"
Okres Prešov,"8,69"
Okres Sabinov,"16,01"
Okres Snina,"11,02"
Okres Stará Ľubovňa,"9,13"
Okres Stropkov,"12,08"
Okres Svidník,"13,81"
Okres Vranov nad Topľou,"15,56"
Košický kraj,"10,55"
Okres Gelnica,"12,04"
Okres Košice I,"6,04"
Okres Košice II,"6,72"
Okres Košice III,"4,49"
Okres Košice IV,"5,43"
Okres Košice - okolie,"12,26"
Okres Michalovce,"12,22"
Okres Rožňava,"15,87"
Okres Sobrance,"15,19"
Okres Spišská Nová Ves,"10,01"
Okres Trebišov,"14,11"
,
,
,
,
,
,
,
,
,
